cluster,case_type,count,p_cluster_given_case,p_cluster,lift
-1,custom_configuration,55,0.08540372670807453,0.0662,1.290086506164268
-1,expedited_delivery,58,0.06366630076838639,0.0662,0.9617265977097643
-1,regulated_export,57,0.0811965811965812,0.0662,1.2265344591628582
-1,standard_build,48,0.022813688212927757,0.0662,0.3446176467209631
-1,supplier_substitution,113,0.17683881064162754,0.0662,2.6712811275170325
0,supplier_substitution,48,0.07511737089201878,0.0096,7.8247261345852905
1,regulated_export,42,0.05982905982905983,0.0084,7.122507122507123
2,standard_build,28,0.013307984790874524,0.0056,2.376425855513308
3,expedited_delivery,47,0.05159165751920966,0.0094,5.48847420417124
4,standard_build,42,0.019961977186311788,0.0084,2.3764258555133084
5,standard_build,68,0.03231939163498099,0.0136,2.376425855513308
6,regulated_export,42,0.05982905982905983,0.0084,7.122507122507123
7,standard_build,57,0.02709125475285171,0.0114,2.376425855513308
8,expedited_delivery,61,0.06695938529088913,0.0122,5.48847420417124
9,standard_build,63,0.02994296577946768,0.0126,2.376425855513308
10,standard_build,60,0.028517110266159697,0.012,2.376425855513308
11,expedited_delivery,43,0.04720087815587267,0.0086,5.488474204171241
12,expedited_delivery,37,0.04061470911086718,0.0074,5.488474204171241
13,standard_build,65,0.030893536121673004,0.013,2.376425855513308
14,regulated_export,41,0.0584045584045584,0.0082,7.1225071225071215
15,standard_build,55,0.02614068441064639,0.011,2.3764258555133084
16,expedited_delivery,69,0.07574094401756312,0.0138,5.488474204171241
17,regulated_export,42,0.05982905982905983,0.0084,7.122507122507123
18,regulated_export,33,0.04700854700854701,0.0066,7.122507122507122
19,custom_configuration,38,0.059006211180124224,0.0076,7.763975155279503
20,expedited_delivery,29,0.031833150384193196,0.0058,5.488474204171241
21,regulated_export,22,0.03133903133903134,0.0044,7.122507122507122
22,regulated_export,40,0.05698005698005698,0.008,7.122507122507122
23,standard_build,53,0.025190114068441065,0.0106,2.376425855513308
24,standard_build,47,0.022338403041825095,0.0094,2.376425855513308
25,standard_build,25,0.01188212927756654,0.005,2.376425855513308
26,standard_build,53,0.025190114068441065,0.0106,2.376425855513308
27,supplier_substitution,34,0.053208137715179966,0.0068,7.82472613458529
28,standard_build,35,0.016634980988593156,0.007,2.376425855513308
29,standard_build,26,0.012357414448669201,0.0052,2.376425855513308
30,custom_configuration,26,0.040372670807453416,0.0052,7.763975155279503
31,expedited_delivery,53,0.05817782656421515,0.0106,5.48847420417124
32,expedited_delivery,33,0.036223929747530186,0.0066,5.48847420417124
33,expedited_delivery,35,0.038419319429198684,0.007,5.488474204171241
34,standard_build,29,0.013783269961977186,0.0058,2.376425855513308
35,expedited_delivery,29,0.031833150384193196,0.0058,5.488474204171241
36,custom_configuration,26,0.040372670807453416,0.0052,7.763975155279503
37,standard_build,23,0.010931558935361217,0.0046,2.376425855513308
38,custom_configuration,36,0.055900621118012424,0.0072,7.763975155279503
39,expedited_delivery,41,0.04500548847420417,0.0082,5.48847420417124
40,expedited_delivery,40,0.043907793633369926,0.008,5.488474204171241
41,standard_build,31,0.014733840304182509,0.0062,2.376425855513308
42,supplier_substitution,26,0.0406885758998435,0.0052,7.82472613458529
43,regulated_export,42,0.05982905982905983,0.0084,7.122507122507123
44,standard_build,57,0.02709125475285171,0.0114,2.376425855513308
45,expedited_delivery,31,0.03402854006586169,0.0062,5.48847420417124
46,custom_configuration,31,0.04813664596273292,0.0062,7.763975155279503
47,standard_build,127,0.060361216730038025,0.0254,2.376425855513308
48,regulated_export,23,0.03276353276353276,0.0046,7.122507122507122
49,supplier_substitution,21,0.03286384976525822,0.0042,7.8247261345852905
50,supplier_substitution,26,0.0406885758998435,0.0052,7.82472613458529
51,regulated_export,21,0.029914529914529916,0.0042,7.122507122507123
52,custom_configuration,27,0.04192546583850932,0.0054,7.763975155279503
53,custom_configuration,28,0.043478260869565216,0.0056,7.763975155279503
54,regulated_export,26,0.037037037037037035,0.0052,7.122507122507122
55,standard_build,23,0.010931558935361217,0.0046,2.376425855513308
56,standard_build,41,0.019486692015209126,0.0082,2.376425855513308
57,expedited_delivery,35,0.038419319429198684,0.007,5.488474204171241
58,custom_configuration,33,0.05124223602484472,0.0066,7.763975155279503
59,standard_build,49,0.02328897338403042,0.0098,2.376425855513308
60,standard_build,41,0.019486692015209126,0.0082,2.376425855513308
61,supplier_substitution,24,0.03755868544600939,0.0048,7.8247261345852905
62,expedited_delivery,24,0.026344676180021953,0.0048,5.488474204171241
63,custom_configuration,40,0.062111801242236024,0.008,7.763975155279502
64,custom_configuration,56,0.08695652173913043,0.0112,7.763975155279503
65,standard_build,29,0.013783269961977186,0.0058,2.376425855513308
66,standard_build,34,0.016159695817490494,0.0068,2.376425855513308
67,standard_build,40,0.019011406844106463,0.008,2.376425855513308
68,standard_build,32,0.015209125475285171,0.0064,2.376425855513308
69,expedited_delivery,21,0.02305159165751921,0.0042,5.488474204171241
70,supplier_substitution,31,0.048513302034428794,0.0062,7.82472613458529
71,expedited_delivery,55,0.06037321624588365,0.011,5.488474204171241
72,supplier_substitution,45,0.07042253521126761,0.009,7.8247261345852905
73,supplier_substitution,29,0.04538341158059468,0.0058,7.8247261345852905
74,regulated_export,53,0.0754985754985755,0.0106,7.122507122507122
75,standard_build,38,0.01806083650190114,0.0076,2.376425855513308
76,standard_build,19,0.00903041825095057,0.0042,2.1500995835596597
76,supplier_substitution,2,0.003129890453834116,0.0042,0.7452120128176467
77,custom_configuration,12,0.018633540372670808,0.0086,2.1666907410082334
77,standard_build,27,0.012832699619771864,0.0086,1.4921743743920772
77,supplier_substitution,4,0.006259780907668232,0.0086,0.7278815008916548
