cluster,agent,n_traces_with_agent,n_traces_with_focus,proximity,frequency,graph_connectivity,role_relevance,suspect_score
5,factory,1,2,1.0,0.1111111111111111,0.0,1.0,0.5333333333333333
5,release,2,2,0.75,0.16666666666666666,0.16666666666666666,1.0,0.4833333333333334
5,orchestrator,2,2,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5,0.45
5,scheduling,2,2,0.25,0.1111111111111111,0.16666666666666666,1.0,0.26666666666666666
5,supply,2,2,0.16666666666666666,0.1111111111111111,0.16666666666666666,1.0,0.23333333333333334
5,pricing,2,2,0.125,0.1111111111111111,0.16666666666666666,1.0,0.21666666666666667
6,release,3,3,0.8333333333333334,0.13333333333333333,0.16666666666666666,1.0,0.5066666666666667
6,orchestrator,3,3,0.38888888888888884,0.43333333333333335,0.8333333333333334,0.5,0.5022222222222222
6,compliance,3,3,0.4226190476190476,0.13333333333333333,0.16666666666666666,1.0,0.3423809523809524
6,scheduling,3,3,0.27777777777777773,0.10000000000000002,0.16666666666666666,1.0,0.27444444444444444
6,supply,3,3,0.17777777777777778,0.10000000000000002,0.16666666666666666,1.0,0.23444444444444446
6,pricing,3,3,0.1037037037037037,0.10000000000000002,0.16666666666666666,1.0,0.2048148148148148
14,orchestrator,5,5,0.4666666666666667,0.42000000000000004,0.8333333333333334,0.5,0.5293333333333333
14,release,5,5,0.7,0.13999999999999999,0.16666666666666666,1.0,0.45533333333333326
14,compliance,5,5,0.4600000000000001,0.13999999999999999,0.16666666666666666,1.0,0.3593333333333334
14,scheduling,5,5,0.25,0.1,0.16666666666666666,1.0,0.2633333333333333
14,factory,5,5,0.16666666666666666,0.1,0.16666666666666666,1.0,0.23
14,supply,5,5,0.125,0.1,0.16666666666666666,1.0,0.21333333333333335
23,orchestrator,3,3,0.5555555555555555,0.43333333333333335,0.8333333333333334,0.5,0.568888888888889
23,release,3,3,0.5,0.10000000000000002,0.16666666666666666,1.0,0.3633333333333334
23,supply,3,3,0.4444444444444445,0.13333333333333333,0.16666666666666666,1.0,0.35111111111111115
23,pricing,3,3,0.4000000000000001,0.13333333333333333,0.16666666666666666,1.0,0.33333333333333337
23,scheduling,3,3,0.25,0.10000000000000002,0.16666666666666666,1.0,0.2633333333333333
23,compliance,3,3,0.125,0.10000000000000002,0.16666666666666666,1.0,0.21333333333333335
41,factory,2,5,1.0,0.10555555555555556,0.0,1.0,0.5316666666666667
41,orchestrator,5,5,0.4666666666666666,0.4288888888888889,0.8,0.5,0.5253333333333333
41,release,5,5,0.6,0.12222222222222223,0.16666666666666666,1.0,0.41000000000000003
41,scheduling,5,5,0.4,0.1222222222222222,0.16666666666666666,1.0,0.33
41,supply,5,5,0.16666666666666666,0.10222222222222224,0.16666666666666666,1.0,0.2306666666666667
41,compliance,4,5,0.125,0.1,0.16666666666666666,1.0,0.21333333333333335
41,pricing,5,5,0.10500000000000001,0.10222222222222224,0.16666666666666666,1.0,0.20600000000000002
42,pricing,1,4,1.0,0.1,0.0,1.0,0.53
